Date,AAPL,AMZN,GOOG,META,MSFT
2022-01-04,175.68138122558594,167.52200317382812,143.24050903320312,333.9096374511719,317.6195373535156
2022-01-05,171.0082550048828,164.35699462890625,136.53257751464844,321.6458740234375,305.4267883300781
2022-01-06,168.15359497070312,163.25399780273438,136.43089294433594,329.871337890625,303.0133361816406
2022-01-07,168.3197784423828,162.5540008544922,135.88885498046875,329.20660400390625,303.1677551269531
2022-01-10,168.33934020996094,161.48599243164062,137.44558715820312,325.5155334472656,303.38983154296875
2022-01-11,171.16468811035156,165.36199951171875,138.8773193359375,331.7664794921875,304.07525634765625
2022-01-12,171.60459899902344,165.20700073242188,140.49453735351562,330.6651306152344,307.2513122558594
2022-01-13,168.33934020996094,161.21400451660156,137.998046875,323.9379577636719,294.24761962890625
2022-01-14,169.19964599609375,162.13800048828125,138.64820861816406,329.31573486328125,299.460693359375
2022-01-18,166.0027618408203,158.91749572753906,135.1806640625,315.6727600097656,292.17205810546875
2022-01-19,162.5126190185547,156.2989959716797,134.54737854003906,317.10150146484375,292.82855224609375
2022-01-20,160.83106994628906,151.66749572753906,132.4193572998047,314.09515380859375,291.1585388183594
2022-01-21,158.77806091308594,142.64300537109375,129.03265380859375,300.8094177246094,285.78125
2022-01-24,158.0056915283203,144.54400634765625,129.31036376953125,306.3062438964844,286.1095275878906
2022-01-25,156.2068634033203,139.98599243164062,125.70347595214844,297.81292724609375,278.5023498535156
2022-01-26,156.118896484375,138.87249755859375,128.18760681152344,292.3358459472656,286.43780517578125
2022-01-27,155.6593780517578,139.6374969482422,128.069580078125,292.3457946777344,289.45941162109375
2022-01-28,166.52088928222656,143.97799682617188,132.20411682128906,299.3607177734375,297.587890625
2022-01-31,170.87136840820312,149.57350158691406,134.59349060058594,310.82080078125,300.21380615234375
2022-02-01,170.7052001953125,151.19349670410156,136.7557373046875,316.5161437988281,298.0705871582031
2022-02-02,171.90771484375,150.6125030517578,146.83102416992188,320.4850158691406,302.6078796386719
2022-02-03,169.03346252441406,138.8455047607422,141.4888916015625,235.90870666503906,290.8205261230469
2022-02-04,168.7495880126953,157.63949584960938,141.85142517089844,235.24391174316406,295.34820556640625
2022-02-07,168.0350341796875,157.9355010986328,137.80662536621094,223.1587677001953,290.531005859375
2022-02-08,171.1380615234375,161.4134979248047,138.079345703125,218.465576171875,294.0159606933594
2022-02-09,172.55743408203125,161.1894989013672,140.30111694335938,230.19354248046875,300.4357604980469
2022-02-10,168.48529052734375,159.0034942626953,137.47384643554688,226.29415893554688,291.9115295410156
2022-02-11,165.0787811279297,153.2935028076172,133.03778076171875,217.8404998779297,284.8255920410156
2022-02-14,165.31370544433594,155.16700744628906,134.19825744628906,216.00489807128906,284.7869873046875
2022-02-15,169.14114379882812,156.510498046875,135.3145751953125,219.2792205810547,290.0675964355469
2022-02-16,168.9062042236328,158.10049438476562,136.367919921875,214.8539276123047,289.7289733886719
2022-02-17,165.31370544433594,154.65249633789062,131.23110961914062,206.0926971435547,281.2450866699219
2022-02-18,163.76708984375,152.60150146484375,129.40509033203125,204.55474853515625,278.53643798828125
2022-02-22,160.85000610351562,150.19749450683594,128.34877014160156,200.5065155029297,278.33331298828125
2022-02-23,156.6897430419922,144.82699584960938,126.54606628417969,196.90480041503906,271.12640380859375
2022-02-24,159.3033905029297,151.35800170898438,131.59312438964844,205.98353576660156,284.979248046875
2022-02-25,161.36878967285156,153.7884979248047,133.42410278320312,208.8411407470703,287.6104431152344
